iter	Passed	Remaining
534	7628	2352
535	7642	2338
536	7656	2323
537	7670	2309
538	7684	2295
539	7697	2280
540	7711	2266
541	7725	2252
542	7740	2237
543	7754	2223
544	7768	2209
545	7782	2195
546	7797	2180
547	7810	2166
548	7824	2152
549	7838	2137
550	7851	2123
551	7865	2108
552	7879	2094
553	7893	2080
554	7908	2066
555	7921	2051
556	7936	2037
557	7950	2023
558	7964	2008
559	7981	1995
560	7995	1981
561	8009	1966
562	8024	1952
563	8037	1938
564	8052	1923
565	8065	1909
566	8079	1895
567	8094	1881
568	8108	1866
569	8122	1852
570	8137	1838
571	8150	1823
572	8164	1809
573	8179	1795
574	8193	1781
575	8207	1766
576	8221	1752
577	8235	1738
578	8250	1724
579	8265	1710
580	8279	1695
581	8293	1681
582	8307	1667
583	8321	1652
584	8335	1638
585	8349	1624
586	8363	1610
587	8378	1595
588	8392	1581
589	8406	1567
590	8421	1553
591	8434	1538
592	8448	1524
593	8462	1510
594	8477	1496
595	8491	1481
596	8505	1467
597	8519	1453
598	8533	1438
599	8548	1424
600	8562	1410
601	8576	1396
602	8594	1382
603	8608	1368
604	8621	1353
605	8636	1339
606	8650	1325
607	8664	1311
608	8677	1296
609	8691	1282
610	8705	1267
611	8719	1253
612	8732	1239
613	8745	1224
614	8759	1210
615	8773	1196
616	8787	1182
617	8801	1167
618	8816	1153
619	8830	1139
620	8844	1125
621	8858	1110
622	8872	1096
623	8885	1082
624	8899	1067
625	8913	1053
626	8928	1039
627	8941	1025
628	8955	1010
629	8969	996
630	8982	982
631	8996	967
632	9011	953
633	9025	939
634	9039	925
635	9054	911
636	9067	896
637	9081	882
638	9095	868
639	9109	854
640	9123	839
641	9137	825
642	9151	811
643	9165	797
644	9179	782
645	9197	768
646	9211	754
647	9225	740
648	9239	726
649	9253	711
650	9268	697
651	9282	683
652	9297	669
653	9311	654
654	9326	640
655	9340	626
656	9355	612
657	9370	598
658	9384	583
659	9399	569
660	9414	555
661	9429	541
662	9444	527
663	9458	512
664	9474	498
665	9488	484
666	9502	470
667	9517	455
668	9531	441
669	9545	427
670	9559	413
671	9574	398
672	9588	384
673	9602	370
674	9616	356
675	9630	341
676	9644	327
677	9658	313
678	9672	299
679	9686	284
680	9700	270
681	9714	256
682	9728	242
683	9743	227
684	9757	213
685	9771	199
686	9787	185
687	9801	170
688	9819	156
689	9833	142
690	9847	128
691	9861	114
692	9875	99
693	9889	85
694	9904	71
695	9919	57
696	9932	42
697	9946	28
698	9960	14
699	9973	0
